Pref	Name
Absrep1	Absidia_repens_NRRL_1336.v1
Amor	Acaulospora_morrowiae_HWC-4_Trinity
Amac	Allomyces_macrogynus_ATCC_38327.v3
Alep	Ambispora_leptoticha_HWC-9_Trinity
Artol1	Arthrobotrys_oligospora_ATCC_24927.Artol1
Batde5	Batrachochytrium_dendrobatidis_JAM81
Blatri1	Blakeslea_trispora_NRRL_2456.v1
Catan1	Catenaria_anguillulae_PL171
Ccla	Claroideoglomus_claroideum_HWC-10_Trinity
Coere1	Coemansia_reversa_NRRL_1564
Conco1	Conidiobolus_coronatus_NRRL_28638
Conth1	Conidiobolus_thromboides_FSU_785
Ccin	Coprinopsis_cinerea_okayama7_130
Cneo	Cryptococcus_neoformans_var._neoformans_JEC21
Dver	Diversispora_versiforme_HWC-5_Trinity
Fmos	Funneliformis_mosseae_HWC-11_Trinity
Gros	Gigaspora_rosea_Trinity
Ganpr1	Gonapodya_prolifera_JEL478
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Hpol	Homoloaphlyctis_polyrhiza_JEL142.v2
Lichy1	Lichtheimia_hyalospora_FSU_10163
Linpe1	Linderina_pennispora_ATCC_12442
Lobtra1	Lobosporangium_transversale_NRRL3116
Marpt1	Martensiomyces_pterosporus_CBS_209.56
Mbre	Monosiga_brevicolis_MX1.v1
Morel1	Mortierella_elongata
Mucci2	Mucor_circinelloides_CBS277.49
Ncra	Neurospora_crassa_OR74A
Pfor	Pandora_formicae_Trinity
Pocc	Paraglomus_occultum_HWC-8_Trinity
Pgra	Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3
Rcas	Racocetra_castanea_HWC-7_Trinity
Rambr1	Ramicandelaber_brevisporus_CBS_109374
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rall	Rozella_allomycis_CSF55
Spom	Schizosaccharomyces_pombe_972h-.vASM294v2
Scal	Scutellospora_calospora_HWC-6_Trinity
Spun	Spizellomyces_punctatus_DAOM_BR117.v1
Umbra1	Umbelopsis_ramanniana_NRRL_5844
Umay	Ustilago_maydis_521.v190413
Ylip	Yarrowia_lipolytica_CLIB122
